fold,accuracy,auc,recall,specificity,precision,best_params
1,0.9047619047619048,0.94425,0.9825,0.7695652173913043,0.8811659192825112,"{'C': 0.1, 'kernel': 'rbf', 'probability': True}"
2,0.9,0.9490108695652174,0.9725,0.7739130434782608,0.8820861678004536,"{'C': 0.1, 'kernel': 'rbf', 'probability': True}"
3,0.8777777777777778,0.9245869565217391,0.9525,0.7478260869565218,0.8678815489749431,"{'C': 0.1, 'kernel': 'rbf', 'probability': True}"
4,0.8936507936507937,0.9426521739130436,0.9725,0.7565217391304347,0.8741573033707866,"{'C': 0.1, 'kernel': 'rbf', 'probability': True}"
5,0.8934817170111288,0.9433474991827395,0.9724310776942355,0.7565217391304347,0.8738738738738738,"{'C': 0.1, 'kernel': 'rbf', 'probability': True}"
