fold,accuracy,auc,recall,precision,best_params
1,0.8095238095238095,0.8577282608695651,0.8375,0.8589743589743589,"{'C': 10, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}"
2,0.7968253968253968,0.8801195652173912,0.8675,0.8222748815165877,"{'C': 10, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}"
3,0.753968253968254,0.8008695652173912,0.725,0.8656716417910447,"{'C': 10, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}"
4,0.7968253968253968,0.8704565217391304,0.86,0.8269230769230769,"{'C': 10, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}"
5,0.8155802861685215,0.8855617304129889,0.8546365914786967,0.8546365914786967,"{'C': 10, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}"
