fold,mae,rmse,r2,best_params
1,15.049993958473205,21.91401728265803,-0.09550176445075897,"{'colsample_bytree': np.float64(0.8097289346118784), 'gamma': np.float64(0.28216332130373045), 'learning_rate': np.float64(0.07172231336633027), 'max_depth': 7, 'n_estimators': 295, 'reg_alpha': np.float64(0.3052117670681955), 'reg_lambda': np.float64(1.6830036407853024), 'subsample': np.float64(0.8481646558394955)}"
2,14.893350400924682,16.31141048851804,-0.4269890701256973,"{'colsample_bytree': np.float64(0.9241751286263199), 'gamma': np.float64(1.6448830946501418), 'learning_rate': np.float64(0.15926537541201266), 'max_depth': 3, 'n_estimators': 201, 'reg_alpha': np.float64(0.774708812805384), 'reg_lambda': np.float64(1.9405156270975155), 'subsample': np.float64(0.7192080252289883)}"
3,16.38192334651947,18.189630709861564,0.026301749967219124,"{'colsample_bytree': np.float64(0.9352614777145377), 'gamma': np.float64(1.2032200514132112), 'learning_rate': np.float64(0.09556485103403872), 'max_depth': 7, 'n_estimators': 481, 'reg_alpha': np.float64(0.2145885288606335), 'reg_lambda': np.float64(2.6167208939288678), 'subsample': np.float64(0.9014542398697418)}"
4,11.175717859268188,13.705167493237315,-0.05428612493089813,"{'colsample_bytree': np.float64(0.948879555239492), 'gamma': np.float64(1.7463625285359523), 'learning_rate': np.float64(0.1768097812361166), 'max_depth': 3, 'n_estimators': 491, 'reg_alpha': np.float64(0.03397823536300648), 'reg_lambda': np.float64(1.1474217137159468), 'subsample': np.float64(0.9932031830699823)}"
5,14.021965203727397,17.974299595175204,0.09660805046954646,"{'colsample_bytree': np.float64(0.7607018695876208), 'gamma': np.float64(1.88294112576273), 'learning_rate': np.float64(0.07321149273025038), 'max_depth': 8, 'n_estimators': 278, 'reg_alpha': np.float64(0.9405714553164758), 'reg_lambda': np.float64(1.6868495258174447), 'subsample': np.float64(0.7324330244110207)}"
